FECHA,PRECIP,EVAP,TMAX,TMIN
15/06/1961,1,3.3,22,13
16/06/1961,0.5,3.9,22.5,13
17/06/1961,5,2.7,20,13.5
18/06/1961,1,5.3,22,11.5
19/06/1961,3.5,3.8,22.5,12.5
20/06/1961,14,1.7,19,13
21/06/1961,1.5,3.6,19.5,10
22/06/1961,5.5,1.2,18.5,11
23/06/1961,1.5,2.7,21.5,11.5
24/06/1961,14.5,2.9,20.5,12
25/06/1961,1.5,3,21.5,8
26/06/1961,17.5,4.2,21,9
27/06/1961,8,3,20.5,11
28/06/1961,5.5,2.6,20.5,12
29/06/1961,5,2.5,21,9
30/06/1961,3,4.5,21,10
01/07/1961,0.01,4,21,11
02/07/1961,34,4.4,21.5,9
03/07/1961,11,4,21,10
04/07/1961,9,2.2,20,12
05/07/1961,17.5,3.3,20,12
06/07/1961,1.5,3.9,21,11
07/07/1961,0.5,3.8,20,10
08/07/1961,1.5,2.9,20.5,11.5
09/07/1961,4.5,3.5,21.5,12.5
10/07/1961,5,3.8,22,11
11/07/1961,5,4,20,9
12/07/1961,23,3,20.5,11.5
13/07/1961,2,2.9,20,11
14/07/1961,10,3,21,9
15/07/1961,0,5.7,21,8.5
16/07/1961,0,3.2,23,8
17/07/1961,0.5,3.9,23.5,8.5
18/07/1961,0.5,4.3,23,11
19/07/1961,12,4,24.5,12.5
20/07/1961,7.5,5,22.5,9
21/07/1961,11.5,3.4,20,9.5
22/07/1961,1,3.6,20.5,10
23/07/1961,0.5,5.1,21,10.5
24/07/1961,0.5,5.8,22.5,11.5
25/07/1961,0.8,2.4,21.5,9
26/07/1961,14,4.1,21,10
27/07/1961,10.5,4.7,19,11
28/07/1961,0.5,5.3,19.5,11.5
29/07/1961,1.5,7.3,20.5,10
30/07/1961,0.01,4.5,24,10
31/07/1961,2.5,2.6,17,11.5
01/08/1961,14.5,2.4,20,10
02/08/1961,21,3.3,20.5,9.5
03/08/1961,1,4.1,21.5,9
04/08/1961,8,4.8,21,10
05/08/1961,14.5,4.2,22,11.5
06/08/1961,1,4.5,22.5,8.5
07/08/1961,0.01,5.4,22.5,8.5
08/08/1961,1.5,3.4,22.5,8.5
09/08/1961,0.5,5.1,23.5,7.5
10/08/1961,0,4.1,23,10
11/08/1961,8.5,4.3,22.5,11.5
12/08/1961,0.01,2,20,9
13/08/1961,0.01,4.8,21.5,9
14/08/1961,0.01,5.4,22.5,8.5
15/08/1961,0.01,4.4,24,7.5
16/08/1961,0.01,4.8,22,8.5
17/08/1961,3,4.4,22.5,11.5
18/08/1961,33.5,4,23,12.5
19/08/1961,0.01,5.3,24,12
20/08/1961,0.5,4.7,21.5,8.5
21/08/1961,8,3.7,21.5,10
22/08/1961,12,2.7,22,10
23/08/1961,0.3,6.8,23,9
24/08/1961,0,5.3,23,5.5
25/08/1961,0,6,23.5,1.5
26/08/1961,0,4.9,23.5,2.5
27/08/1961,5,4.4,23.5,3.5
28/08/1961,15.5,3,23,5
29/08/1961,0.01,3.1,22.5,9
30/08/1961,2.5,4.1,22,9.5
31/08/1961,2,2.3,22,11.5
01/09/1961,10,4.1,21.5,9
02/09/1961,14,4.8,21.5,9.5
03/09/1961,0.01,2.8,21,10
04/09/1961,2,4.1,21.5,10
05/09/1961,0,4.7,22,7.5
06/09/1961,0,3.8,22.5,7
07/09/1961,0,4.6,24,6.5
08/09/1961,0,5.7,21.5,10
09/09/1961,7.5,4.2,23,7
10/09/1961,1,2.1,19.5,10
11/09/1961,7.5,4.3,21.5,11
12/09/1961,4.5,1.6,17.5,12
13/09/1961,6,2.7,19,11.5
14/09/1961,0.5,3.9,18.5,12
15/09/1961,11.5,1.9,19.5,10
16/09/1961,14.5,1.7,18,12
17/09/1961,2.5,4,19.5,11
18/09/1961,15,1.2,18,11
19/09/1961,0,4.7,20,8.5
20/09/1961,0,2.6,20.5,6
21/09/1961,0,4.8,21.5,8.5
22/09/1961,10,5.8,21.5,7.5
23/09/1961,6.5,4.8,22,7.5
24/09/1961,0.5,2.3,21.5,9.5
25/09/1961,0.5,3.7,21.5,9
26/09/1961,0,4.6,24,9.5
27/09/1961,1,3.6,22,10
28/09/1961,0.5,3.9,22.5,9
29/09/1961,0,4.3,21.5,9
30/09/1961,0,4.1,23.5,4.5
01/10/1961,0,4.6,22,6
02/10/1961,1,3,22,6
03/10/1961,0,4.9,20.5,5.5
04/10/1961,0.01,2.9,20,8
05/10/1961,0.01,4.3,21.5,6
06/10/1961,0.01,4.1,21,8
07/10/1961,10,5.7,24,5
08/10/1961,0.01,4.2,22.5,7
09/10/1961,0,3,22.5,8
10/10/1961,1.5,4.5,24,8.5
11/10/1961,0,4.9,23.5,8
12/10/1961,0,6.1,21.5,8
13/10/1961,2.5,3.1,18,5
14/10/1961,0.5,2.1,15,6.5
15/10/1961,0,2.5,12,6
16/10/1961,0,2.8,18.5,4
17/10/1961,0,5.5,22.5,1
18/10/1961,0,4.9,23,3
19/10/1961,0,6,23.5,0.5
20/10/1961,0,4.6,22,0
21/10/1961,0,5.4,23.5,1
22/10/1961,0,3.6,25,2
23/10/1961,0,4.9,25,3
24/10/1961,0,5.4,25,2.5
25/10/1961,0,4.6,26,3
26/10/1961,0,4.5,21,4
27/10/1961,0,4.7,22,9.5
28/10/1961,0,3.9,23.5,2
29/10/1961,0,4.8,23,2
30/10/1961,0,5.5,25,3
31/10/1961,0,4.9,25,1
01/11/1961,0,3.6,24.5,2.5
02/11/1961,0,3.5,24,2.5
03/11/1961,0,3.8,23,7
04/11/1961,0,3.7,20,7.5
05/11/1961,0,3.1,20.5,10
06/11/1961,0,3.1,16,9
07/11/1961,0,2.6,16.5,8.5
